"";"Champs";"Regie";"Soil_type";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"351";"D03";"Organic";"Sand";15,4114754098361;6155,8;56;22432;0,31;55,5264;40,488;79,47;5,784;18,198;72,8784;0;0;0;0;4,4;16;166;270;1113;94;34;1,5;3,75;2;0,5;134,25;1,1;0,13;0,64;0,96;0,25;0,00356;0,00037;0,00405;0,0292;0,0018;0,00782
"352";"D04";"Organic";"Sand";13,6818681318681;9125,2;112;26994;0,206521739130435;43,4208;31,661;120,8957;4,523;304,8564;56,9898;0;2,0895;0;0;4,3;14;166;189;1331;63;21;1,1;2,1;2;0,7;178,51;0,011;0,0012;0,0068;0,0096;0,0024;0,00347;0,00034;0,00344;0,02323;0,00194;0,0131278
"353";"D04";"Organic";"Sand";14,1227777777778;8258,6;252;13072;0,206521739130435;48,5856;35,427;121,5876;10,9572;225,1614;63,7686;0,6974;1,3948;0;0;4,5;15;209;266;1268;104;38;1,5;3,4;2,4;0,4;195,31;1,1;0,12;0,57;0,86;0,25;0,00289;0,00038;0,00356;0,02349;0,00189;0,00908
"354";"D04";"Organic";"Sand";15,4114754098361;6155,8;56;27381;0,206521739130435;56,424;41,1425;79,6875;5,8775;18,108;74,0565;0;0;0;0;4,4;16;138;245;1276;75;25;1,3;2,57;2;0,5;121,93;1,1;0,13;0,71;0,83;0,22;0,00342;0,00037;0,00383;0,0268;0,00185;0,00814
"355";"D05";"Organic";"Sand";13,6818681318681;9125,2;112;23934;0,109090909090909;43,6224;31,808;118,768;4,544;307,174;57,2544;0;2,03;0;0;4,4;13;206;260;1270;81;36;1,5;4,94;2,3;0,5;200,79;0,013;0,0012;0,0061;0,0099;0,0023;0,00377;0,00031;0,00325;0,02485;0,002;0,0172858
"356";"D05";"Organic";"Sand";14,1227777777778;8258,6;252;12529;0,109090909090909;48,6768;35,4935;119,7822;10,3994;221,6133;63,8883;0,6303;1,2606;0;0;4,6;14;161;200;1274;92;29;1,4;2,82;2;0,4;191,23;1,1;0,12;0,59;0,74;0,22;0,00281;0,00033;0,00396;0,0239;0,00162;0,00476
"357";"D05";"Organic";"Sand";15,4114754098361;6155,8;56;18589;0,109090909090909;55,368;40,3725;79,9875;5,7675;18,414;72,6705;0;0;0;0;4,5;15;130;207;1367;80;26;1,2;3,16;2;0,5;187,02;1;0,13;0,66;0,85;0,25;0,00347;0,00039;0,00454;0,02674;0,00175;0,00828
"358";"D06";"Organic";"Sand";13,6818681318681;9125,2;112;23681;0,153061224489796;44,6928;32,5885;115,0255;4,6555;313,906;58,6593;0;2,03;0;0;4,4;13;216;178;1554;87;32;1,6;2,73;2;0,7;225,28;0,011;0,0012;0,0066;0,0094;0,0023;0,00364;0,00027;0,00316;0,02265;0,00189;0,0124784
"359";"D06";"Organic";"Sand";14,1227777777778;8258,6;252;10331;0,153061224489796;48,6816;35,497;121,4615;10,5115;223,4565;63,8946;0,6435;1,287;0;0;6,3;14;2796;57;934;51;33;3,9;0,64;7,9;0,4;199,9;1,1;0,11;0,56;0,7;0,2;0,00271;0,00033;0,00421;0,0216;0,00156;0,00786
"360";"D06";"Organic";"Sand";15,4114754098361;6155,8;56;19814;0,153061224489796;46,7424;34,083;75,595;4,869;193,5;61,3494;0;0;0;0;4,5;15;139;200;1351;87;29;1,2;2,75;2;0,5;152,44;1;0,13;0,65;0,87;0,25;0,00334;0,00036;0,00488;0,02348;0,00181;0,00854
